-1834	11732	-2125	4163	5380	3018	-24610	4638239	-5409	-37075	-1109	22375	9576	58727	-79800	0	-356	-1037	0	34909	-3429	-4464	-362	-11367	-10461	-6595466	2781	5695026	-58284	88916	-66062	-13640	71047	-30687	-65307	844507	24883	-11408	74842	-27066	20466	-1834	-2384	0	-3408	1227	88768	17908	-192	1971	1742	3792	0	-19758	-22409	33560	77940	-8002482	11140	-25172	6137	1058	2762	19011	7131	30901	-23763	-2802994	-1927	-15528	-24193	-26487	3610	851	4494	18104	21051	0	-1584	19273	8309	5495	-1547	54859	1256	-82453	17788	-15612	78252	9036	1865	33522	19437	-888	694	0	1696	17976	-2844732	9943362
13313	1720	118548	1223849	33930	-3087	-7813	11148	-5527	0	63357	3078	21486	-457	25091	-5945	-98	80022	4521	-32165	-6637	9464	-29782	6265	-187	631	-11580	62703	9238	-8854	38154	18751	19696	-19385	5670628	-47334	0	-32091	-2632	84591	318	4463	-78259	-365737	-1302	8044	0	6478	-9547	10218494	27001	6484	102790	4157	-654	34347	57605	0	-10374	-45907	-14384	29049	9778	-134	-53853	7435	3559	-3288779	-2140	-2311	-1592	35193	-4338	-8708	-368	-99240	-1402575	7157	62520	0	43203	4970504	108192	18124	6160	0	-3998	42810	25464	-19059	24775	3034	-3161	-16612	2678	140	-3395	2159165	154	-32810
-52567	2933	-2930	-86121	7324	-3845108	-9941	-794	31574	64375	61876	-14655	-31744	19760	165327	236	-1175	13873	-15192	-9180529	-85292	48958	-1637	-3235245	43814	41075	-6882	142011	-678	295907	-45691	13203	30614	2424	2247	-10135	-32802	94896	-26486	-64247	-21318	85	3860327	-41482	-11748	5803060	-29185	-6241451	-98274	-40659	-104192	3520932	10012	12723	3965	-914	-9885755	23056	5916155	4230	-1236	-5519	22862	966	141977	218706	-16326	-28196	14097	-634402	2776872	-77188	297962	-3928	129717	-579	-9749	-4815	10386864	-15634	-460	11723	11509	4418	-27368	7938	36517	-34	-631	-5302	-84652	-6447	-759	831920	328490	36945	3944	8900	16209	1694
16115	40137	-34278	-149177	654	13655	86678	-4598	54157	371	-42318	-50901	-100849	-10564	-23771	-304310	93767	13715	-13812	4305	-7763	1372	11690	-15725	-7359	1022640	78634	15665	-46994	17209	6696	208110	-2759	16316	0	-20275	-153	5475	-367	-20259	19008	-45481	48565	-106539	56796	14248	-3854	107302	-14624	-148	-84887	9205	-3228	-545879	10045	2622462	16546	22228	-49207	-22981	11041	-4124	-8119	208517	0	-27978	-3217	-1970065	2578370	-14201	552	71145	2284	-30291	-83086	16333	7370	-828	87007	3634	-2226	55370	5343	4189	239	-58904	-29085	1385184	6597	27626	1929	76548	-44227	1412	106244	84878	-71926	2484	-9538	-191968
7434	25888	150127	-3940	9717	-79447	-22608	11302	-91314	18520	9563	-51513	-80110	-409	6675	4405	-2685	-3913	9169	148940	16797	105739	7417	-113618	-14820	22202	-71926	11970	161329	3991	14543	-14386	0	-106951	-27030	-10647	1848	0	15196	28247	765645	-12783	-6272	-1095	-18363	0	-10203	87710	-30280	-1863	40532	-70972	-8290	29467	-19412	13691	-16098	-43690	-3289	2144566	1160878	-38915	1580	7406	1654705	462	43648	-4926	3374	-27883	21007	-2201	236271	0	5125	1537	25913	-16602	-34598	-14126	-9914	-68426	-19976	-1431	-13247	-3481	-4358	2152	-85425	-6493	13287	-1773	7709	0	21533	-14797	2005	99840	0	2400
-61533	-127446	5984	1016	22707	-6757	22534	29712	-12693	0	147949	-42586	42411	1585536	9366	113921	-26963	-5514	-12272	-112135	14002	-29643	40399	-59680	-6699	-1239375	0	151608	-18882	1533	13740	-1038	-23965	0	-53823	-415	-14698	-86421	6661	-8726	24215	-4109	24330	-855	-14594	37210	0	-33954	-5300	0	88166	-14387	13970	-47560	-16339	-4840	-60180	73479	13001	5729	12901	2131	17525	-16494	-10729	13060	263976	35420	79416	-1825	-68971	-50007	2154	-44995	-7083	4762	-1148364	-7262	9470	49194	-149382	11452077	-7363	4880	-37924	-21761	13962	-15911	31572	4202	-390283	-36835	-9636	72447	13717	-1	2002471	4621	-78809	-1566
-2341	-15349	-23081	75834	11858	14515	577	1317	-193309	0	-4164	328889	55670	-55446	75707	-2329	-63858	13075	0	1693293	-6317	10893622	32451	-181591	-15377	28	-12806	-7872	-8378	-3745	10817	-1532	-4586	0	-9759	328	18735	236730	932	-17036	-61300	-4955	-9535	57568	8631677	-5079	113	-11885	82258	-6955	0	-4985	12553	-40541	62200	-326	13451	43724	0	-33756	-995	-5233	79313	-3535	67481	345306	99783	32481	18610	24702	4673	37326	-14811	22098	75006	-2544	-9732	21126	441	-150375	-5595	-3575	-9257	-14926	-4296	-15549	149064	50467	2929	35538	0	8034	30750	-21356	-1283	-25882	9952	50953	635902	-69661
-7440	68013	24755	6972	0	6513	-10064	15240	11327	755	-15507	5511	26695	1932	5543	2249	-32221	16242	0	-862	-26478	-117133	-3015	-6621	38150	-5091	-8924	-6455	5019	-263396	-1360	2838	-4597	-48010	-37768	19363	6515	-1	-1679	151015	-25549	49816	0	-1388	12909	-110562	14558	-10159	2526	94898	11927	-2959	10655	-22177	18250	-112872	22443	-33482	-64593	30782	-4551	6115	-59491	10683	-1	1053	-642	11440013	0	21913	-17727	-36173	11157	-1	-378	-72	-16148	-275	-289744	-16209	-1	-1910	67364	-9910	10906	281132	10427	-1	0	29928	-18290	0	-4591	5021	-18639	4922827	0	101290	26452	10812
-29434	158394	-1	-13538	-24126	-21536	24671	-1162	-7117	55354	-444523	11534034	40333	51096	-5512	327	0	-3049	-2363	-3822	11265	-13710	-1420	0	-5946	374639	13305451	1142	16189	-1821	-11332	3607	17049	9346	-12266	1102556	-19237	37439	-1589	3196500	-139946	-371168	17942205	29280	22358	2966	9502	3957	-1	206039	169824	6434	-13074	-904750	26389	2046	22138	139488	1908	-17204	43360	2662	0	9500	45688	-52137	15187	-7059	24481	0	-884	0	35033	194605	42	-276217	-81387	-18295	3913	-8910	16279	-19699	-12756	-2362	-1281936	339	-19385	-34190	-14292	-4574	54203	110169	8376288	-1174	-34552	-10449	20717	-5457	17787	0
46059	98290	11377	-2986	-444	-1491	11827	4456842	11991	-269	-20774	-62441	23976	-20664	1116	-9453	-53502	-27864	0	26306	66195	-23712	31661	-2718984	139798	20996	-40605	5393576	-8897	32056	-2020037	-15017	17170	91944	-11280	-41312	-14953	-30855	127705	-685	-8673	-36815	-10290	1476	496	-4647	-5465	-43720	29726	31820	0	-5469	-24708	-33817	87081	2152	31176	16301	-22555	12899189	-24081	41264	9943802	5399	124460	19548813	-8149	-70676	2409628	-9611	-59889	1162	18238	-39792	0	8210644	3070	-53757	-8711	-76822	4573324	9698	-2507	13151873	458	-15622	-26231	6080	14611	0	19968	-1	2996203	15578712	14468727	45085	-5676	56858	-2913	7297
