9195	-3363	3464	-23565	1173	-27200	4275	848	8609	2239	10897	0	-13131	5393	-3574	-14646	4282	1288	373	-10626	-4169	-12886	54301	-12742	-6950	28556	-1451	20436	-6475	3183	-1109	2176	-3525	51766	-200	-34	0	-7236	0	0	-1996	0	2603	-1689	1450	-1565	15170	2483	2360	-2668	793	8247	9499	-6595	-94001	29288	3861	0	-751	-22013	-16433	3151	29295	0	-750	-4376	0	216	-3579	-6824	409	1229	-4297	5090	-99303	4985	-1594	6403	13294	-12595	4879	3165	1317	1544	7807	7492	25747	2892	1328	-11771	-9469	-4972	1509	3163	283	-21531	0	0	-350	266
-3838	-3674	-9646	5046	-8950	0	4165	77	207	-13587	-20263	6655	-707	-15738	-962	-1409	3348	3697	29643	1821	-8705	21037	42398	6698	21223	0	0	6224	-2564	1973	-413	-74958	2178	-935	-1306	-18454	-3194	-2364	-17313	4651	7016	4246	3071	7587	-52257	-15047	-5838	9845	-2061	0	-77	1598	-10044	-3890	288	7486	-5109	1350	-6746	-3219	2765	-5657	-52231	-326	-4095	-27703	0	2058	-1594	-39317	19106	-3377	-3136	26	13081	0	4560	-32475	-866	3794	13421	0	2747	-25376	-1077	0	-4564	-954	1931	4564	-50835	9000	-4357	539	-9832	-3524	2040	7484	-1556	19096
-1627	-24711	2087	411	621	-11994	392	-2508	15930	523	-5904	2448	-5396	-2320	95994	-2266	-10724	31011	62594	0	-2507	2448	63937	-8122	3290	0	-1115	38042	280	28745	-1373	109721	-21750	3623	837	-9800	3439	7325	-8154	-80503	1616	-5675	68737	-4124	-7387	69276	20337	562	-1883	-465	-3123	-1361	51028	300	11579	-1323	-9751	-160	-29221	-59473	-493	27937	24578	11063	-11458	-8340	3068	33195	-35600	30612	-509	-22532	-29810	3462	0	-3431	-19641	-13332	33743	-1654	-10384	-2314	59927	4051	-3256	0	-43	-96203	-18862	56882	-49554	0	-55652	4252	-20039	-37894	0	0	-1373	14663
26461	-995	23548	-14899	6538	-17772	0	14715	317	-20045	-22936	5441	31721	28747	-10573	-47237	0	1072	3980	0	-43565	0	-597	-2085	26734	-21954	-24024	-3826	-59649	28990	-2405	-44802	2045	116181	-4605	-142	7794	-2339	-11917	-1262	126866	-5445	11165	-90593	4432	-43711	807	0	9301	-98870	8863	-7079	80695	0	-3443	-105187	-9465	-11458	-19118	-21408	72159	28964	-24378	557	-1636	16180	186	-2528	8555	1514	8760	0	-18980	52233	-5261	8842	-3073	-12474	13401	31898	-84931	-4570	-103558	6178	5755	10914	-1045	19036	-34028	14240	15147	0	27285	26276	19444	-24498	-4923	24339	18056	35719
59358	-12223	16162	1787	2553	-614	19611	14067	0	2217	-4232	18929	-4390	47077	-14161	128	47780	86748	-5937	2752	2026	-53673	-3903	-6849	-27295	-437	-722	4329	1580	-8379	-82330	-5728	432	-39264	4835	9981	0	28444	-568	6376	-39613	-4006	1544	-1612	29380	-4304	-1255	20882	6221	0	67908	0	2311	0	4570	-6118	-2341	34469	4703	73010	0	-36951	-2806	79073	-4572	-23755	-38321	-3321	-10091	-667	80374	10713	-19578	-151	-1710	-1695	0	-5123	-6394	-17626	0	-14174	-80999	-20275	3560	-6332	45351	-18039	-11853	20168	12391	-1647	0	-23633	17718	-42293	23008	0	8978	27180
9398	11477	9740	-3387	54353	-2991	78495	-1144	-7069	-27073	94894	20906	-6410	-315	-710	3856	7837	81504	-38734	0	45968	7920	18301	-2958	39819	-462	-96497	6443	22904	-7643	109820	93	13888	59444	-99540	2220	85491	-41024	-19777	14795	977	24898	-8357	14705	-22307	-39116	-10687	30500	-39698	-112159	-46287	-2715	0	11367	16190	-6638	0	5022	-10542	6055	2212	0	-11766	54551	59865	-24305	1204	31557	-24478	13877	11083	60145	0	-921	-6963	1103	-1756	17535	-15034	0	2384	20585	-8533	-16469	0	38674	32095	-29226	-12873	-1695	-1633	12260	0	10347	-3487	7522	23929	2946	9715	0
22162	20328	-564	-1361	0	8937	-54334	-29	-79082	1393	-26237	-8789	1218	-60242	-21947	-12050	0	-22799	-7988	91359	67547	54823	43611	7692	4578	18672	5377	-20342	-13284	-5266	2035	-6660	-1770	-45587	10653	17532	33539	1328	-874	3795	0	86545	19462	27431	-76894	112	4019	88458	26931	-2840	-10590	13619	-11127	0	-2839	0	602	0	-9440	35255	2647	4570	0	9987	-24921	-989	2486	5146	10458	-4753	2353	-3010	-29709	24628	-2819	-4910	-3294	2588	225	69192	9615	-12132	2961	14327	-18560	0	-2134	3106	-6214	-18980	-34098	2409	461	-12644	-9018	-1191	-5339	-5207	1557	12969
-23295	8192	-4604	-12321	8202	-31596	-7208	44338	-1176	5669	-7413	-6157	11196	-8853	44819	5376	-2241	-46049	4564	48772	-49319	0	-64761	49934	-67648	0	-15942	11699	-40981	-10878	-37239	0	11479	5746	-6952	111341	-1693	-5225	-12763	3266	-3628	37134	40048	92343	0	8435	-12788	13337	2478	701	6488	48292	23442	42481	-17453	-54603	-12107	-64551	-40276	-15045	3180	2002	-2788	1116	-31759	-13907	9496	0	-21043	-9830	-8867	7844	726	970	-13663	11207	25307	-8210	0	39827	-157	83960	-38427	-13511	17030	-30708	17763	0	5559	-4477	-28773	8686	-1966	38070	7811	-5208	-4541	-9465	0	3180
3839	-36169	-2295	8784	-804	0	-4826	95901	14176	0	3753	39585	0	-3712	17468	-4573	-1194	0	-4562	6953	-204	-19998	-4205	-4012	2921	-5949	-3708	-5981	110027	-4742	-4621	-14073	-2710	-6259	11371	49259	146	1282	42704	-12265	3588	-8850	-35085	0	-41608	0	-18985	73056	-14135	-303	-7447	5993	-21391	27685	10773	-9167	-10720	22519	-39795	-2078	-2542	-41614	12911	-901	82678	-835	0	4672	46854	-2344	-43962	-4628	-1255	-11438	-3243	82887	-49562	-29568	-3495	-24624	-12392	3391	-3050	100462	-6946	-7371	-10507	14999	2081	16668	281	6695	3056	-10447	-19406	17791	8770	-37562	6604	-9412
34191	7970	1169	637	4599	23065	12527	-20778	-11526	8452	-4576	-43669	-6892	5916	0	-84084	11255	0	-4140	59793	12409	19646	0	3821	29567	0	465	-17073	-3950	14023	-8439	95759	118	20026	5318	39438	-7664	-408	2022	5005	1972	23785	69074	19475	-14808	-5345	-495	41960	-7590	6399	-5830	2671	-14117	2883	10563	17391	9764	-26588	85609	-24014	-29702	-817	-1256	-2173	0	-53820	2164	4326	-2997	-29285	10956	0	0	-15986	4241	-948	6276	-43	-27507	68574	0	-8907	-15674	0	1306	4303	-991	33086	-3546	11280	0	-4379	50925	-75103	7192	1502	8171	-5164	-3046	24964
52223	4134	27062	12425	-1783	-6021	-11937	-7174	10068	33201	-40214	-291	-47640	-16105	567	-14412	-5032	-47585	-1465	-121710	0	11953	7031	1335	-5534	6445	5198	40357	-1930	28758	0	24016	-30254	-2734	6365	13552	3475	-12223	-13640	1455	-2954	4852	1442	-8215	-30842	28820	7968	-6836	6100	-6501	91251	5147	12416	33068	-1710	3920	-1015	-22505	2604	-11023	31358	12710	99192	12157	77498	-68704	-11345	6431	-11420	4635	-3729	2109	-68	13829	2330	35889	-62049	-26026	12086	-10366	464	-13474	0	36373	753	-2135	5334	608	-238	-96786	2773	-5174	-551	-98328	-13844	-6865	-1100	-2502	13859	-2981
24815	-79435	48882	18952	71001	-2593	-1925	8582	1897	-47191	2751	-16440	-14177	-13416	77733	-2177	-1769	-1862	-22401	562	782	34	-12258	52587	0	29046	5731	-5933	-13826	-12025	-1628	36581	-228	-11452	-1784	-3503	-19384	6255	-3729	16893	-103245	-23116	676	14332	-2103	0	28828	-5395	590	14686	8275	24272	-1783	-5002	61	7269	35049	-2107	3730	8949	10102	-85931	19416	3480	-29033	20677	1549	8075	-13890	-5537	11869	-58177	-17180	-1702	-16981	46392	24993	6749	2134	8830	-27954	-19937	2506	4480	-16921	2845	-3915	4788	-24456	25786	6168	22596	12314	-101357	-3518	-36055	-1078	1310	36913	32367
-5047	-17406	0	4872	0	-1730	553	5593	1445	657	249	35491	0	-5810	-3857	682	-48971	676	45229	-4645	0	7798	-2442	13610	7387	87086	0	-805	1071	6083	-3000	-134	-934	0	9403	-12421	156	-17112	-871	82981	-356	22926	-4224	-365	0	-7460	6220	2577	0	2738	2023	17531	101612	1864	0	-1829	14902	-18997	3478	1176	-33265	16988	-2557	0	-25466	-2604	-5267	9738	16637	6149	-67301	3309	-1401	-296	4828	4489	-16437	-7400	0	5607	-6247	6806	14319	0	-5163	-496	-8834	-45718	-43013	-5229	0	1102	3670	0	-7545	49087	20641	5054	6974	0
255	-1422	11025	1095	4516	783	-10076	0	0	2774	-1585	-16400	-24512	14378	-9406	2841	39258	3339	-34438	4890	-1927	-18535	19092	727	-7031	2203	4755	10066	-5954	8526	42983	-7522	-726	3449	6111	-3291	975	-31074	127	67570	10491	5272	-5336	9019	-47850	35570	705	11786	4249	0	-122	-11126	1878	7564	1425	-16511	14212	0	31985	568	17925	6084	21411	-547	0	656	-94412	0	47344	-946	-5141	17973	0	0	-3361	-289	-9473	607	6016	700	-5014	3921	11007	-1180	-10528	-5323	133	-2754	6159	-2473	85422	-6545	-236	16097	-13195	-2580	52316	3240	11902	0
7131	-825	5852	2160	0	-1696	8770	0	-340	-69348	613	13033	28068	0	-8738	24317	-3450	-6524	-10877	0	-30361	-5678	3216	-5771	112899	892	22864	-16044	-9077	-11640	8362	3871	-15170	1206	-5014	11848	1938	-31869	21480	20807	3885	2920	-1999	1913	8735	-3059	-910	79605	-23443	-8994	69805	4003	-2062	11574	-11460	-23705	7201	235	-82053	-4738	-17488	5341	-24102	-692	6019	3580	-2024	-18745	-1575	-42624	273	0	8913	41844	657	2186	-29619	6485	5399	0	-28183	-17313	-11138	2276	4076	13372	5279	-19070	353	28612	5346	-2316	-4523	16861	-14901	0	5699	-25476	-2962	0
-6551	-18198	-16378	-6159	0	828	-2039	-6823	-7200	-4921	-133	-40147	-23425	-16088	-503	0	298	-37539	-15116	-7550	86586	0	-1990	34212	96040	9416	184	-19435	-5841	-9093	-10992	-20428	-628	46530	0	601	-48158	-117087	4064	-10682	16099	1880	6381	-583	1316	1627	17860	-2989	1602	23534	-46157	-823	78927	554	57408	-10618	7185	1117	-18531	9888	-5147	-1558	0	79863	-6980	-14272	1926	-17132	2030	-8177	-37938	0	-66	2963	2034	-54698	-19473	13660	-14307	100007	21787	0	-4351	54413	14670	0	-18335	15763	739	12146	11588	22436	-204	8385	-4450	13667	14283	22860	5453	-2153
1865	1018	12340	-17313	7941	34476	-944	18377	0	-1274	0	-3526	4781	17846	5627	-21068	2250	6395	-2160	3606	-2184	-8715	51133	-9882	499	-7338	5514	12906	-194	2434	21882	2465	23272	43705	-904	-3648	1196	-15261	17374	12241	146	-27995	0	-83783	-43546	-4021	-6923	39086	19468	-11330	45976	-5867	-965	12090	7182	0	-4977	8435	1200	25129	2061	-41493	4040	-6290	-3943	9188	5664	34075	29032	4813	35526	44590	-17801	19925	-12420	-1728	66755	3262	-27074	-132	30130	-5557	2148	0	44706	11436	-6876	0	-80181	11417	1635	-39993	-5389	-1548	-6778	0	3178	4196	24853	3704
-13580	-109655	-25996	-2017	-5376	-1049	19870	708	1160	-13313	1391	7086	26328	6238	38279	61002	-11326	31858	-11821	31459	-5186	7467	4288	-31632	543	4387	-4648	5548	-11720	-5371	1891	-54746	-2370	16383	2058	3976	6484	-1917	-1622	10079	-21935	5031	488	3346	-5574	5088	8728	4415	16969	48035	31070	8341	18934	-16035	14675	4318	-3976	1863	5559	-1297	23143	-19128	0	-11045	-7914	-2328	6978	-8319	-4556	-6571	-21632	3351	-32475	23387	-2960	1803	43095	-10091	-3333	-1893	592	-11278	-1396	103335	9521	-3396	13381	58615	448	-8864	-21753	-2027	7230	39117	0	-1643	923	1320	0	-3264
13971	5563	0	17859	-379	1903	-3574	-14622	1302	19983	0	-50090	1690	-7947	8605	-42185	27876	3372	549	0	5090	398	-6506	9599	6719	1538	-5085	79114	2957	1383	-556	-8234	-13769	-17061	20427	3458	-7839	1221	80235	-3739	-27398	-20024	2849	0	-700	-35088	50756	-7312	-6707	1774	-25633	-31614	-2203	0	2584	44554	12128	12490	-7090	107011	-18039	-12276	102167	9386	4926	-850	-53	15331	1767	70	-2959	1775	2363	-34142	2246	-9269	-32396	697	2652	3201	475	29634	13595	1828	0	-2277	0	3709	-13031	-3088	-10479	11290	7906	10901	-21939	22655	13128	-6760	6733	14020
26670	-7491	-7725	2983	26768	1645	48491	-8858	36408	8881	-10782	-52211	-14023	-21840	19140	-14028	27083	4258	6592	0	-808	-44765	-44122	41177	8227	56113	-3499	-3740	10961	-4710	9071	0	-86	-15259	-3470	-8146	3459	-279	7919	-3865	4777	-589	-7009	857	87	2422	-1859	-185	-48782	-370	7493	5772	14230	-20288	4210	0	68072	-7516	-10058	11326	14242	-17055	10386	-322	1680	-37458	-4860	-3112	0	20756	-344	8160	-57539	-19999	-13518	80762	3438	-2153	-14602	6673	-18629	-2072	-46950	-101	0	-23702	6941	-18270	10667	-8454	15396	-10445	760	-15864	-38857	-4789	-1204	21	7904	62683
-20672	-2601	784	-6394	-15356	8175	-62178	1073	37343	0	-1436	-38476	9205	3992	3944	3630	-55067	-6083	-6841	26528	633	1388	-6614	22043	16059	-11658	3322	-23545	-15	-18455	-289	0	0	7166	-5802	4391	-8891	-1341	-7668	1850	71072	23938	96934	0	5523	25343	27670	77708	-239	-133250	-19382	-40851	6243	-6302	-12154	10196	2823	0	3166	-3713	-47	-103862	-95635	-15850	31639	-14493	-11491	-804	5048	-13817	-317	-31563	0	5555	-1102	2602	3531	-5647	35783	-17007	-724	7846	92432	-7300	0	36712	4999	-7473	-4710	-8718	-42869	-36058	8978	-438	-1494	-2562	-634	-1316	-12749	57796
